datetime,stock_code,exchange_code,expiry_date,strike_price,option_right,open,high,low,close,volume,open_interest
03-01-2024 15:25,NIFTY,NFO,04-01-2024,22250,CE,0.8,0.85,0.7,0.8,205700,2268000
04-01-2024 09:15,NIFTY,NFO,04-01-2024,22250,CE,0.5,0.65,0.4,0.4,737400,2278400
04-01-2024 09:20,NIFTY,NFO,04-01-2024,22250,CE,0.45,0.45,0.4,0.4,390050,2399050
04-01-2024 09:25,NIFTY,NFO,04-01-2024,22250,CE,0.45,0.45,0.4,0.4,191300,2396800
04-01-2024 09:30,NIFTY,NFO,04-01-2024,22250,CE,0.45,0.45,0.35,0.35,179600,2460850
04-01-2024 09:35,NIFTY,NFO,04-01-2024,22250,CE,0.4,0.4,0.35,0.4,157100,2456850
04-01-2024 09:40,NIFTY,NFO,04-01-2024,22250,CE,0.4,0.4,0.35,0.4,146700,2433550
04-01-2024 09:45,NIFTY,NFO,04-01-2024,22250,CE,0.4,0.4,0.35,0.4,150050,2482100
04-01-2024 09:50,NIFTY,NFO,04-01-2024,22250,CE,0.35,0.4,0.35,0.4,98100,2453000
04-01-2024 09:55,NIFTY,NFO,04-01-2024,22250,CE,0.4,0.4,0.35,0.35,161900,2478150
04-01-2024 10:00,NIFTY,NFO,04-01-2024,22250,CE,0.4,0.4,0.35,0.4,191600,2518250
04-01-2024 10:05,NIFTY,NFO,04-01-2024,22250,CE,0.4,0.4,0.35,0.35,94300,2529400
04-01-2024 10:10,NIFTY,NFO,04-01-2024,22250,CE,0.4,0.4,0.35,0.35,140350,2594500
04-01-2024 10:15,NIFTY,NFO,04-01-2024,22250,CE,0.4,0.4,0.35,0.4,457200,2618300
04-01-2024 10:20,NIFTY,NFO,04-01-2024,22250,CE,0.4,0.45,0.35,0.35,2294850,3720850
04-01-2024 10:25,NIFTY,NFO,04-01-2024,22250,CE,0.35,0.4,0.3,0.35,613200,3491600
04-01-2024 10:30,NIFTY,NFO,04-01-2024,22250,CE,0.35,0.35,0.3,0.35,109300,3469350
04-01-2024 10:35,NIFTY,NFO,04-01-2024,22250,CE,0.35,0.35,0.3,0.3,82050,3487500
04-01-2024 10:40,NIFTY,NFO,04-01-2024,22250,CE,0.35,0.35,0.3,0.3,111850,3505500
04-01-2024 10:45,NIFTY,NFO,04-01-2024,22250,CE,0.3,0.35,0.3,0.3,82600,3520500
04-01-2024 10:50,NIFTY,NFO,04-01-2024,22250,CE,0.35,0.35,0.3,0.35,177600,3557450
04-01-2024 10:55,NIFTY,NFO,04-01-2024,22250,CE,0.35,0.35,0.3,0.35,254300,3506200
04-01-2024 11:00,NIFTY,NFO,04-01-2024,22250,CE,0.35,0.35,0.25,0.25,469350,3587950
04-01-2024 11:05,NIFTY,NFO,04-01-2024,22250,CE,0.25,0.3,0.25,0.3,279350,3713500
